geometry,theory,N,box_kpc,dx_kpc,smoothing_kpc,q_floor_fraction,contrast,argmax_x,argmax_y,gas,galaxy_mean
favorable,QUMOND,128,4500.0,35.15625,50,3.814697265625e-06,1.8040131861345285,281.25,0.0,570183380.1093497,1028618336.232023
favorable,Newtonian,128,4500.0,35.15625,100,3.814697265625e-06,1.3001556521861635,-281.25,0.0,306572467.08705413,398591925.88789
favorable,QUMOND,128,4500.0,35.15625,100,3.814697265625e-06,1.1794542015106264,-281.25,0.0,531104337.8424053,626413242.7087442
favorable,Newtonian,128,4500.0,35.15625,150,3.814697265625e-06,0.9493960910718172,-175.78125,0.0,294839536.6740645,279919503.61178255
favorable,QUMOND,128,4500.0,35.15625,150,3.814697265625e-06,0.9369597484937763,-175.78125,0.0,504813519.9655175,472989948.7031492
favorable,Newtonian,128,4500.0,35.15625,250,3.814697265625e-06,0.801365280392837,0.0,0.0,232768466.8794766,186532567.7274826
favorable,QUMOND,128,4500.0,35.15625,250,3.814697265625e-06,0.8324035409163093,0.0,0.0,410326096.6545089,341556895.785581
favorable,Newtonian,128,6000.0,46.875,50,3.814697265625e-06,2.3300505819181145,-281.25,0.0,322035231.60337913,750358378.7955884
favorable,QUMOND,128,6000.0,46.875,50,3.814697265625e-06,1.8381189537704326,-281.25,0.0,584983590.1407597,1075269424.6824048
favorable,Newtonian,128,6000.0,46.875,100,3.814697265625e-06,1.3585563461295145,-281.25,0.0,306761653.69396573,416752991.3751216
favorable,QUMOND,128,6000.0,46.875,100,3.814697265625e-06,1.2230830255560396,-281.25,0.0,547260302.5190783,669344786.5717478
favorable,Newtonian,128,6000.0,46.875,150,3.814697265625e-06,1.0003327348363362,-187.5,0.0,295072507.0049654,295170687.90729105
favorable,QUMOND,128,6000.0,46.875,150,3.814697265625e-06,0.9819283598603242,-187.5,0.0,521679945.30238795,512252333.0627975
favorable,Newtonian,128,6000.0,46.875,250,3.814697265625e-06,0.8432527223919005,0.0,0.0,232993471.49879044,196472379.1408947
favorable,QUMOND,128,6000.0,46.875,250,3.814697265625e-06,0.8745205277529589,0.0,0.0,428236346.6639825,374501475.88758504
favorable,Newtonian,160,6000.0,37.5,50,1.953125e-06,2.3566743295359083,-300.0,0.0,322035306.8519591,758932340.8622313
favorable,QUMOND,160,6000.0,37.5,50,1.953125e-06,1.8460120153061643,-300.0,0.0,585539331.408385,1080912641.214217
favorable,Newtonian,160,6000.0,37.5,100,1.953125e-06,1.3358257314321043,-262.5,0.0,306744948.61163276,409757795.3422376
favorable,QUMOND,160,6000.0,37.5,100,1.953125e-06,1.2044233181459654,-262.5,0.0,547313231.4620194,659196818.3026762
favorable,Newtonian,160,6000.0,37.5,150,1.953125e-06,0.9755222172987553,-187.5,0.0,295026469.65566283,287804875.8403162
favorable,QUMOND,160,6000.0,37.5,150,1.953125e-06,0.9619726120748493,-187.5,0.0,521686145.7611004,501847784.3210663
favorable,Newtonian,160,6000.0,37.5,250,1.953125e-06,0.821522566332895,0.0,0.0,232944953.73370126,191369536.20560774
favorable,QUMOND,160,6000.0,37.5,250,1.953125e-06,0.8570952729030539,0.0,0.0,428198576.1050838,367006975.4434859
